danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms
0.531;0.622;-7.751;0.447;0.602;0.0;0.118;0.593;167.758;454533
0.634;0.675;-7.351;0.0926;0.099;0.000314;0.362;0.633;82.183;219866
0.826;0.49;-10.477;0.0676;0.00916;4.41e-06;0.0415;0.627;74.126;180267
0.525;0.65;-6.961;0.0683;0.0852;0.133;0.133;0.787;175.913;289973
0.731;0.312;-13.899;0.0816;0.683;0.879;0.104;0.45;78.001;223223
0.71;0.402;-10.372;0.0361;0.534;0.00724;0.146;0.654;114.993;207002
0.784;0.541;-9.072;0.0647;0.05;0.926;0.305;0.77;83.14;126316
0.627;0.392;-10.554;0.0299;0.888;0.551;0.108;0.28;85.024;110118
0.486;0.376;-13.707;0.0404;0.881;0.00312;0.129;0.0892;90.236;102452
0.748;0.316;-9.695;0.0614;0.661;0.639;0.133;0.337;89.917;160178
0.684;0.295;-12.773;0.077;0.563;0.577;0.111;0.47;118.009;92271
0.506;0.349;-9.09;0.0575;0.658;0.649;0.196;0.615;153.885;176262
0.517;0.509;-9.917;0.137;0.407;0.311;0.251;0.37;74.98;96343
0.669;0.306;-9.112;0.0872;0.481;0.00491;0.0762;0.227;170.055;174500
0.656;0.294;-12.695;0.0405;0.864;0.887;0.0822;0.592;82.025;140488
0.83;0.639;-12.623;0.0856;0.363;0.694;0.0706;0.875;101.998;264413
0.599;0.479;-13.603;0.037;0.579;0.143;0.135;0.263;143.96;139453
0.629;0.501;-10.805;0.0641;0.824;0.198;0.1;0.408;118.272;130169
0.811;0.429;-11.503;0.0789;0.468;0.607;0.109;0.646;138.027;139130
0.691;0.186;-13.672;0.0487;0.686;0.934;0.0762;0.548;86.383;136914
0.578;0.172;-13.683;0.35;0.883;3.32e-06;0.401;0.424;138.71;84024
0.637;0.704;-7.164;0.0862;0.0524;0.658;0.299;0.326;81.968;169143
0.792;0.415;-11.029;0.0462;0.582;0.561;0.101;0.537;93.963;183454
0.819;0.289;-9.791;0.417;0.935;0.918;0.101;0.371;85.02;120004
0.583;0.402;-10.659;0.0317;0.898;1.36e-06;0.143;0.589;85.936;197880
0.409;0.412;-12.822;0.0372;0.285;0.699;0.127;0.41;88.009;180000
0.79;0.133;-9.365;0.0864;0.872;0.797;0.111;0.418;69.997;122704
0.737;0.723;-9.483;0.0674;0.104;0.851;0.0979;0.334;89.967;123333
0.673;0.126;-14.431;0.0547;0.901;0.904;0.137;0.142;131.582;148717
0.375;0.0412;-21.749;0.0444;0.995;0.96;0.107;0.127;100.74;171000
0.445;0.338;-10.928;0.0305;0.806;0.0109;0.121;0.318;109.918;180011
0.335;0.33;-8.302;0.031;0.472;0.41;0.164;0.04;75.07;208000
0.435;0.338;-9.109;0.066;0.853;0.0;0.412;0.354;179.727;209643
0.77;0.497;-6.937;0.0293;0.816;0.0;0.0763;0.235;114.991;232544
0.572;0.559;-8.012;0.042;0.801;0.000288;0.257;0.426;131.002;261421
0.925;0.651;-8.361;0.0417;0.0649;0.00958;0.259;0.823;129.994;214591
0.614;0.277;-11.943;0.042;0.967;0.891;0.0698;0.236;84.938;65790
0.826;0.466;-7.262;0.0729;0.683;0.476;0.116;0.571;87.043;135172
0.568;0.266;-12.173;0.0575;0.949;0.000124;0.168;0.318;116.36;208627
0.624;0.399;-9.824;0.049;0.714;0.0;0.0969;0.715;129.826;170880
0.399;0.491;-10.778;0.0538;0.0563;0.00089;0.11;0.151;91.066;210463
0.802;0.41;-12.793;0.0455;0.411;0.00107;0.0941;0.224;106.05;241547
0.738;0.536;-8.506;0.0955;0.554;0.00114;0.239;0.374;86.001;167791
0.665;0.456;-9.745;0.0331;0.804;0.0207;0.14;0.823;112.056;194203
0.761;0.443;-9.544;0.262;0.341;0.00072;0.112;0.676;83.019;152878
0.726;0.431;-8.765;0.135;0.731;0.0;0.696;0.348;144.026;173333
0.426;0.419;-8.976;0.0321;0.375;1.21e-05;0.115;0.371;140.403;196947
0.671;0.488;-8.672;0.155;0.85;0.621;0.34;0.495;79.991;140914
0.862;0.564;-6.566;0.0425;0.278;0.0;0.0935;0.836;119.952;196133
0.494;0.425;-5.317;0.0746;0.848;5.12e-05;0.0895;0.275;66.602;180346
0.641;0.842;-7.27;0.0292;0.134;0.911;0.419;0.499;129.978;278769
0.742;0.421;-8.574;0.0977;0.537;0.897;0.107;0.4;140.028;105000
0.712;0.442;-9.097;0.679;0.274;0.0;0.0943;0.176;143.451;61022
0.736;0.449;-11.462;0.425;0.33;0.000162;0.0898;0.326;80.126;219080
0.861;0.33;-7.194;0.0526;0.627;1.93e-06;0.14;0.718;95.016;216000
0.597;0.45;-6.658;0.0418;0.223;0.0;0.382;0.537;178.765;228482
0.654;0.501;-9.35;0.116;0.389;0.000613;0.158;0.878;171.979;224800
0.747;0.738;-11.759;0.0525;0.134;0.87;0.103;0.708;93.011;113499
0.687;0.522;-9.914;0.367;0.928;0.0255;0.118;0.404;169.962;160967
0.744;0.378;-10.951;0.114;0.38;3.42e-06;0.308;0.072;100.016;96000
0.638;0.901;-5.514;0.0396;0.0198;0.0841;0.0758;0.966;89.998;310000
0.812;0.519;-4.823;0.0385;0.379;0.0;0.13;0.554;104.954;165714
0.688;0.813;-4.596;0.178;0.421;1.8e-06;0.121;0.715;93.983;132747
0.357;0.425;-7.301;0.0333;0.584;0.0;0.322;0.27;102.078;198040
0.613;0.669;-6.049;0.156;0.1;0.0;0.281;0.599;80.033;190877
0.546;0.221;-8.915;0.063;0.868;0.0;0.0994;0.593;128.144;181505
0.763;0.301;-9.57;0.041;0.86;0.00306;0.1;0.285;81.658;150001
0.546;0.281;-13.951;0.0943;0.815;0.935;0.113;0.0752;83.897;114420
0.61;0.21;-14.889;0.0786;0.965;0.917;0.102;0.0412;175.929;109148
0.864;0.682;-6.73;0.386;0.208;5.27e-06;0.1;0.268;115.012;268087
0.712;0.217;-12.944;0.0813;0.846;5.61e-05;0.265;0.468;136.986;231448
0.474;0.187;-12.77;0.0289;0.909;0.00759;0.118;0.116;110.306;316511
0.549;0.636;-3.923;0.376;0.395;0.0;0.0974;0.661;182.363;251547
0.664;0.194;-15.487;0.0357;0.909;3.85e-05;0.0829;0.443;129.863;321827
0.413;0.219;-18.667;0.0397;0.903;0.00386;0.112;0.31;101.541;388640
0.768;0.339;-13.169;0.777;0.608;0.000956;0.261;0.568;76.229;154599
0.676;0.0674;-13.899;0.0703;0.841;0.942;0.121;0.214;77.037;134026
0.116;0.059;-26.632;0.0446;0.983;0.913;0.152;0.0393;94.137;214987
0.724;0.268;-15.384;0.0403;0.829;0.000528;0.492;0.599;86.727;519707
0.833;0.199;-13.781;0.0518;0.941;0.907;0.114;0.831;110.689;168720
0.575;0.43;-13.168;0.0363;0.822;0.000661;0.115;0.427;82.691;293640
0.547;0.2;-16.734;0.0392;0.826;3.84e-05;0.135;0.551;91.768;182973
0.693;0.4;-11.631;0.0319;0.903;0.803;0.0986;0.573;117.954;204507
0.732;0.555;-7.973;0.0326;0.627;0.0;0.112;0.73;114.982;206612
0.823;0.8;-7.198;0.0419;0.614;0.0;0.0934;0.969;126.315;180174
0.797;0.105;-16.881;0.0969;0.885;0.000116;0.108;0.419;122.545;183133
0.757;0.546;-9.115;0.0316;0.793;0.000471;0.0613;0.596;115.054;184040
0.334;0.397;-7.993;0.0284;0.558;0.0774;0.126;0.035;93.445;273107
0.413;0.232;-11.87;0.0371;0.928;3.15e-05;0.155;0.134;93.661;270003
0.733;0.686;-9.118;0.0716;0.0386;0.0;0.0744;0.791;101.972;188240
0.56;0.372;-14.446;0.179;0.698;0.0;0.198;0.773;158.217;163107
0.435;0.366;-8.009;0.0286;0.486;0.00124;0.112;0.204;94.714;220587
0.561;0.681;-7.633;0.0299;0.16;0.0132;0.106;0.62;87.262;301453
0.772;0.823;-4.987;0.0932;0.546;0.0573;0.203;0.891;129.493;126040
0.748;0.466;-14.149;0.0366;0.0542;6.21e-06;0.241;0.891;115.045;296507
